Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
phs-transaction,,,,2019-07-29 19:09:54,2019-07-29 19:10:22,28.520s,INCOMPLETE
,,,,,,,
Test Cases/phs-transaction/checkDuplicateCase,,,,2019-07-29 19:09:54,2019-07-29 19:09:57,3.011s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/checkDuplicateCase"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/checkDuplicateCase"").getValue(1, 1)]))",,,,2019-07-29 19:09:55,2019-07-29 19:09:57,2.522s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:09:57,2019-07-29 19:09:57,0.019s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:09:57,2019-07-29 19:09:57,0.007s,PASSED
,,,,,,,
Test Cases/phs-transaction/getAlterationByGenId,,,,2019-07-29 19:09:57,2019-07-29 19:09:58,0.646s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getAlterationByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getAlterationByGenId"").getValue(1, 1)]))",,,,2019-07-29 19:09:58,2019-07-29 19:09:58,0.257s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:09:58,2019-07-29 19:09:58,0.007s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:09:58,2019-07-29 19:09:58,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/getAscUserByGenId,,,,2019-07-29 19:09:58,2019-07-29 19:09:59,0.670s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getAscUserByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getAscUserByGenId"").getValue(1, 1), ""taskName"":findTestData(""phs-transaction/getAscUserByGenId"").getValue(2, 1)]))",,,,2019-07-29 19:09:58,2019-07-29 19:09:59,0.241s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:09:59,2019-07-29 19:09:59,0.009s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:09:59,2019-07-29 19:09:59,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/getCmIdByGenId,,,,2019-07-29 19:09:59,2019-07-29 19:09:59,0.485s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getCmIdByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getCmIdByGenId"").getValue(1, 1)]))",,,,2019-07-29 19:09:59,2019-07-29 19:09:59,0.132s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:09:59,2019-07-29 19:09:59,0.004s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:09:59,2019-07-29 19:09:59,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/getExistingCaseByGenId,,,,2019-07-29 19:09:59,2019-07-29 19:10:00,0.550s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getExistingCaseByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getExistingCaseByGenId"").getValue(1, 1)]))",,,,2019-07-29 19:09:59,2019-07-29 19:10:00,0.239s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:00,2019-07-29 19:10:00,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:00,2019-07-29 19:10:00,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/getExistingDataComponentByGenId,,,,2019-07-29 19:10:00,2019-07-29 19:10:00,0.536s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getExistingDataComponentByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getExistingDataComponentByGenId"").getValue(1, 1)]))",,,,2019-07-29 19:10:00,2019-07-29 19:10:00,0.215s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:00,2019-07-29 19:10:00,0.006s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:00,2019-07-29 19:10:00,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/getJsonDataCapSubAlterByGenId,,,,2019-07-29 19:10:00,2019-07-29 19:10:01,0.550s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getJsonDataCapSubAlterByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getJsonDataCapSubAlterByGenId"").getValue(1, 1)]))",,,,2019-07-29 19:10:01,2019-07-29 19:10:01,0.152s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:01,2019-07-29 19:10:01,0.004s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:01,2019-07-29 19:10:01,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/getMsaFsaResultByGenId,,,,2019-07-29 19:10:01,2019-07-29 19:10:01,0.499s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getMsaFsaResultByGenId"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getMsaFsaResultByGenId"").getValue(1, 1)]))",,,,2019-07-29 19:10:01,2019-07-29 19:10:01,0.147s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:01,2019-07-29 19:10:01,0.006s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:01,2019-07-29 19:10:01,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/getPolAndAlter,,,,2019-07-29 19:10:01,2019-07-29 19:10:02,0.523s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getPolAndAlter"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getPolAndAlter"").getValue(1, 1)]))",,,,2019-07-29 19:10:02,2019-07-29 19:10:02,0.108s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:02,2019-07-29 19:10:02,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:02,2019-07-29 19:10:02,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/getTrxTableByGenID,,,,2019-07-29 19:10:02,2019-07-29 19:10:03,1.006s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/getTrxTableByGenID"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/getTrxTableByGenID"").getValue(1, 1)]))",,,,2019-07-29 19:10:03,2019-07-29 19:10:03,0.203s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:03,2019-07-29 19:10:03,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:03,2019-07-29 19:10:03,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/saveErrorLog,,,,2019-07-29 19:10:03,2019-07-29 19:10:04,0.869s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/saveErrorLog"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/saveErrorLog"").getValue(1, 1), ""message"":findTestData(""phs-transaction/saveErrorLog"").getValue(2, 1), ... ]))",,,,2019-07-29 19:10:03,2019-07-29 19:10:04,0.415s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:04,2019-07-29 19:10:04,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:04,2019-07-29 19:10:04,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/saveEvdLifeAssured,,,,2019-07-29 19:10:04,2019-07-29 19:10:05,0.825s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/saveEvdLifeAssured"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/saveEvdLifeAssured"").getValue(1, 1), ""clientNo"":findTestData(""phs-transaction/saveEvdLifeAssured"").getValue(2, 1), ... ]))",,,,2019-07-29 19:10:04,2019-07-29 19:10:05,0.471s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:05,2019-07-29 19:10:05,0.004s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:05,2019-07-29 19:10:05,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/saveMsaFsaResult,,,,2019-07-29 19:10:05,2019-07-29 19:10:06,1.198s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/saveMsaFsaResult"", [""endpoint"":endpoint, ""id"":findTestData(""phs-transaction/saveMsaFsaResult"").getValue(1, 1), ""genId"":findTestData(""phs-transaction/saveMsaFsaResult"").getValue(2, 1), ... ]))",,,,2019-07-29 19:10:05,2019-07-29 19:10:06,0.822s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:06,2019-07-29 19:10:06,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:06,2019-07-29 19:10:06,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/saveTaskDetail,,,,2019-07-29 19:10:06,2019-07-29 19:10:07,1.633s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/saveTaskDetail"", [""endpoint"":endpoint, ""trxId"":findTestData(""phs-transaction/saveTaskDetail"").getValue(1, 1), ""genId"":findTestData(""phs-transaction/saveTaskDetail"").getValue(2, 1), ... ]))",,,,2019-07-29 19:10:06,2019-07-29 19:10:07,1.202s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:07,2019-07-29 19:10:07,0.004s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:07,2019-07-29 19:10:07,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/setStatus,,,,2019-07-29 19:10:07,2019-07-29 19:10:08,0.450s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/setStatus"", [""endpoint"":endpoint, ""reqType"":findTestData(""phs-transaction/setStatus"").getValue(1, 1), ""trxIn"":findTestData(""phs-transaction/setStatus"").getValue(2, 1)]))",,,,2019-07-29 19:10:08,2019-07-29 19:10:08,0.127s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:08,2019-07-29 19:10:08,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:08,2019-07-29 19:10:08,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/setStatusSave,,,,2019-07-29 19:10:08,2019-07-29 19:10:09,0.704s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/SetStatusSave"", [""endpoint"":endpoint, ""reqType"":findTestData(""phs-transaction/setStatusSave"").getValue(1, 1), ""id"":findTestData(""phs-transaction/setStatusSave"").getValue(2, 1), ... ]))",,,,2019-07-29 19:10:08,2019-07-29 19:10:09,0.351s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:09,2019-07-29 19:10:09,0.017s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:09,2019-07-29 19:10:09,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/statusBpm,,,,2019-07-29 19:10:09,2019-07-29 19:10:09,0.513s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/statusBpm"", [""endpoint"":endpoint, ""statusBpm"":findTestData(""phs-transaction/statusBpm"").getValue(1, 1)]))",,,,2019-07-29 19:10:09,2019-07-29 19:10:09,0.092s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:09,2019-07-29 19:10:09,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:09,2019-07-29 19:10:09,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/statusCm,,,,2019-07-29 19:10:09,2019-07-29 19:10:21,12.190s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/statusCm"", [""endpoint"":endpoint, ""statusCm"":findTestData(""phs-transaction/statusCm"").getValue(1, 1)]))",,,,2019-07-29 19:10:10,2019-07-29 19:10:21,11.809s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:21,2019-07-29 19:10:21,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:21,2019-07-29 19:10:21,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/updateAlterNumber,,,,2019-07-29 19:10:21,2019-07-29 19:10:22,0.597s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/updateAlterNumber"", [""endpoint"":endpoint, ""trxId"":findTestData(""phs-transaction/updateAlterNumber"").getValue(1, 1), ""genId"":findTestData(""phs-transaction/updateAlterNumber"").getValue(2, 1), ... ]))",,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.291s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/updateStatusProcess,,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.474s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/updateStatusProcess"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/updateStatusProcess"").getValue(1, 1), ""statusProcess"":findTestData(""phs-transaction/updateStatusProcess"").getValue(2, 1)]))",,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.128s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.000s,PASSED
